ask,bid,due,emittent,ratio,strike,wkn,wkn_link,yr,yr2,yr4
2.03,2.02,18.12.2019,HypoVereinsbank/UniCredit,1.0,10.6,HX15R3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15R3,12.629999999999999,14.66,18.72

0.19,0.17,13.03.2019,HSBC,0.1,10.5,TR25ST,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TR25ST,12.4,14.3,18.1

1.48,1.44,15.03.2019,BNP Paribas,1.0,11.0,PP56DK,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DK,12.48,13.96,16.92

0.22,0.2,19.06.2019,HSBC,0.112,10.71,TD6B05,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6B05,12.674285714285714,14.63857142857143,18.56714285714286

0.19,0.18,17.06.2019,UBS,0.1,10.5,UV6KKQ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6KKQ,12.4,14.3,18.1

1.66,1.65,13.03.2019,HypoVereinsbank/UniCredit,1.0,10.6,HX15EL,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX15EL,12.26,13.92,17.24

1.57,1.53,18.12.2018,BNP Paribas,1.0,10.5,PP56DE,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/PP56DE,12.07,13.64,16.78

1.99,1.97,20.09.2019,DZ Bank AG,1.0,10.5,DD507P,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507P,12.49,14.48,18.46

1.77,1.74,15.03.2019,Vontobel Financial Products GmbH,1.0,10.5,VL9XD5,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9XD5,12.27,14.04,17.58

1.91,1.88,21.06.2019,Vontobel Financial Products GmbH,1.0,10.5,VL9XD0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/VL9XD0,12.41,14.32,18.14

2.25,2.24,20.03.2020,DZ Bank AG,1.0,10.5,DD507R,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507R,12.75,15.0,19.5

0.14,0.13,15.10.2018,UBS,0.1,10.5,UV515E,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV515E,11.9,13.3,16.1

0.17,0.16,11.02.2019,UBS,0.1,10.5,UV6ECN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6ECN,12.2,13.9,17.3

0.16,0.15,14.01.2019,UBS,0.1,10.5,UV53DW,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV53DW,12.1,13.7,16.9

0.22,0.21,16.12.2019,UBS,0.1,10.5,UV6SRN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6SRN,12.7,14.899999999999999,19.299999999999997

1.55,1.53,21.12.2018,DZ Bank AG,1.0,10.5,DD507J,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507J,12.05,13.6,16.7

1.87,1.85,21.06.2019,DZ Bank AG,1.0,10.5,DD507N,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507N,12.370000000000001,14.24,17.98

0.15,0.14,12.11.2018,UBS,0.1,10.5,UV515D,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV515D,12.0,13.5,16.5

1.72,1.71,15.03.2019,DZ Bank AG,1.0,10.5,DD507L,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507L,12.22,13.94,17.38

1.12,1.11,15.03.2019,DZ Bank AG,1.0,11.75,DD5TTV,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5TTV,12.870000000000001,13.99,16.23

